Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/11/2023,Presenze al 16/11/2023,2023-11-17 15:31:50.351708
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,167392.62,25079,4880535.44,682786,2024-02-06 08:30:09.322993
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,152471.80,21557,3880545.57,513116,2024-02-06 08:30:09.322993
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,51699.48,7092,3207715.78,411541,2024-02-06 08:30:09.322993
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,39414.82,6265,4376655.34,642194,2024-02-06 08:30:09.322993
5,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,28200.11,4126,431391.43,56979,2024-02-06 08:30:09.322993
6,THE WARRIOR - THE IRON CLAW,'2024-02-01'01/02/2024,USA,EAGLE PICTURES S.P.A.,20020.24,3029,215134.88,29441,2024-02-06 08:30:09.323992
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,20018.69,3386,1611842.40,236527,2024-02-06 08:30:09.323992
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,17310.32,2933,676625.32,100430,2024-02-06 08:30:09.323992
9,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,15121.61,3110,36009259.19,5285285,2024-02-06 08:30:09.323992
10,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,12681.09,1893,2930121.35,405601,2024-02-06 08:30:09.323992
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 06/02/2024,Presenze al 06/02/2024,2024-02-07 08:34:08.912555
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,142926.53,21286,5023710.47,704110,2024-02-07 08:34:08.912555
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,122178.94,17374,4003333.01,530578,2024-02-07 08:34:08.912555
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,44171.94,6103,3251925.72,417650,2024-02-07 08:34:08.912555
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,37509.95,5936,4414176.29,648132,2024-02-07 08:34:08.912555
5,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,23556.55,3435,454947.98,60414,2024-02-07 08:34:08.912555
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,20057.24,3319,1632006.64,239864,2024-02-07 08:34:08.912555
7,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,19037.04,4084,36028345.23,5289376,2024-02-07 08:34:08.913555
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,17531.38,2972,694231.20,103414,2024-02-07 08:34:08.913555
9,THE WARRIOR - THE IRON CLAW,'2024-02-01'01/02/2024,USA,EAGLE PICTURES S.P.A.,16653.09,2556,231812.97,32001,2024-02-07 08:34:08.913555
10,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,13195.20,3238,2451900.92,374118,2024-02-07 08:34:08.913555
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 07/02/2024,Presenze al 07/02/2024,2024-02-08 08:25:02.148494
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,175647.46,28156,5200498.73,732467,2024-02-08 08:25:02.157496
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,147724.87,22359,4151363.38,552991,2024-02-08 08:25:02.157496
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,49040.65,7338,3301095.87,425008,2024-02-08 08:25:02.157496
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,43764.59,7114,4458716.88,655343,2024-02-08 08:25:02.157496
5,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,27398.98,4223,482427.76,64651,2024-02-08 08:25:02.157496
6,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,26076.15,4687,720501.35,108133,2024-02-08 08:25:02.158495
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,22377.90,3730,1654716.34,243653,2024-02-08 08:25:02.158495
8,THE WARRIOR - THE IRON CLAW,'2024-02-01'01/02/2024,USA,EAGLE PICTURES S.P.A.,20416.28,3281,252309.85,35296,2024-02-08 08:25:02.158495
9,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,17778.64,2880,2959505.01,410220,2024-02-08 08:25:02.158495
10,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,16218.06,3182,36044563.29,5292558,2024-02-08 08:25:02.158495
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 08/02/2024,Presenze al 08/02/2024,2024-02-09 08:30:13.142670
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,114444.11,16335,5315304.84,748863,2024-02-09 08:30:13.150671
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,98623.08,13338,4250149.96,566354,2024-02-09 08:30:13.150671
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,28747.79,3926,3329999.66,428960,2024-02-09 08:30:13.150671
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,26000.72,4042,4484881.10,659410,2024-02-09 08:30:13.150671
5,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,19519.27,4249,36064082.56,5296807,2024-02-09 08:30:13.150671
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,16635.23,2661,1671351.57,246314,2024-02-09 08:30:13.150671
7,DUNE,'2021-09-16'16/09/2021,USA,WARNER BROS ITALIA S.P.A.,15255.43,2144,7374477.30,1028210,2024-02-09 08:30:13.151671
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,15174.38,2426,735675.73,110559,2024-02-09 08:30:13.151671
9,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,14815.34,2184,497243.10,66835,2024-02-09 08:30:13.151671
10,IL COLORE VIOLA (THE COLOR PURPLE),'2024-02-08'08/02/2024,USA,WARNER BROS ITALIA S.P.A.,12599.06,2081,12629.06,2084,2024-02-09 08:30:13.151671
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 09/02/2024,Presenze al 09/02/2024,2024-02-10 12:20:12.815430
1,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,177104.43,22977,4427567.39,589370,2024-02-10 12:20:12.818971
2,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,163580.66,22510,5479396.50,771458,2024-02-10 12:20:12.818971
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,62906.31,8011,3392968.97,436980,2024-02-10 12:20:12.818971
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,37423.97,5444,4522347.07,664860,2024-02-10 12:20:12.818971
5,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,31735.51,4500,529045.11,71342,2024-02-10 12:20:12.818971
6,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,28505.97,4315,1700192.54,250674,2024-02-10 12:20:12.818971
7,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,23318.70,3592,759032.43,114157,2024-02-10 12:20:12.818971
8,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,21855.51,4412,36085938.07,5301219,2024-02-10 12:20:12.818971
9,DUNE,'2021-09-16'16/09/2021,USA,WARNER BROS ITALIA S.P.A.,21060.02,2816,7395537.32,1031026,2024-02-10 12:20:12.818971
10,IL COLORE VIOLA (THE COLOR PURPLE),'2024-02-08'08/02/2024,USA,WARNER BROS ITALIA S.P.A.,19166.23,2988,31878.29,5084,2024-02-10 12:20:12.818971
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 10/02/2024,Presenze al 10/02/2024,2024-02-11 12:10:43.013727
1,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,355168.63,43795,4783195.52,633230,2024-02-11 12:10:43.013727
2,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,339681.41,44144,5819731.41,815702,2024-02-11 12:10:43.013727
3,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,150130.94,18257,3543278.91,455259,2024-02-11 12:10:43.013727
4,SANSONE E MARGOT - DUE CUCCIOLI ALL'OPERA,'2024-02-08'08/02/2024,RUS,EAGLE PICTURES S.P.A.,126140.14,18440,153793.30,22954,2024-02-11 12:10:43.013727
5,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,106690.86,14494,4629129.93,679368,2024-02-11 12:10:43.013727
6,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,92176.77,12004,621238.88,83348,2024-02-11 12:10:43.014727
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,78959.97,11153,1779241.51,261841,2024-02-11 12:10:43.014727
8,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,61932.46,8830,821349.39,123047,2024-02-11 12:10:43.014727
9,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,53924.45,6991,3036348.59,420377,2024-02-11 12:10:43.014727
10,DUNE,'2021-09-16'16/09/2021,USA,WARNER BROS ITALIA S.P.A.,50548.17,6175,7446085.49,1037201,2024-02-11 12:10:43.014727
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 11/02/2024,Presenze al 11/02/2024,2024-02-12 08:27:19.829914
1,POVERE CREATURE! (POOR THINGS),'2024-01-25'25/01/2024,USA,WALT DISNEY S.M.P. ITALIA,503355.66,66224,6325456.07,882240,2024-02-12 08:27:19.829914
2,TUTTI TRANNE TE (ANYONE BUT YOU),'2024-01-25'25/01/2024,USA,EAGLE PICTURES S.P.A.,375893.23,47371,5159672.25,680685,2024-02-12 08:27:19.829914
3,SANSONE E MARGOT - DUE CUCCIOLI ALL'OPERA,'2024-02-08'08/02/2024,RUS,EAGLE PICTURES S.P.A.,181349.47,26271,335258.77,49244,2024-02-12 08:27:19.829914
4,PERFECT DAYS,'2024-01-04'04/01/2024,JPN,LUCKY RED DISTRIB.,159676.55,22049,4789342.48,701502,2024-02-12 08:27:19.829914
5,I SOLITI IDIOTI 3 - IL RITORNO,'2024-01-25'25/01/2024,ITA,MEDUSA FILM S.P.A.,135959.88,17102,3679268.79,472365,2024-02-12 08:27:19.829914
6,DIECI MINUTI,'2024-01-25'25/01/2024,ITA,VISION DISTRIBUTION,124229.64,17994,946011.03,141111,2024-02-12 08:27:19.829914
7,THE HOLDOVERS - LEZIONI DI VITA (THE HOLDOVERS),'2024-01-18'18/01/2024,USA,UNIVERSAL S.R.L.,123991.36,17829,1903297.87,279681,2024-02-12 08:27:19.830916
8,PARE PARECCHIO PARIGI,'2024-01-18'18/01/2024,ITA,01 DISTRIBUTION,93893.14,12560,3130339.23,432958,2024-02-12 08:27:19.830916
9,ARGYLLE - LA SUPER SPIA (ARGYLLE),'2024-02-01'01/02/2024,USA,UNIVERSAL S.R.L.,92137.48,12422,713406.36,95775,2024-02-12 08:27:19.830916
10,IL COLORE VIOLA (THE COLOR PURPLE),'2024-02-08'08/02/2024,USA,WARNER BROS ITALIA S.P.A.,77753.68,11403,158867.52,23469,2024-02-12 08:27:19.830916
